# Hypersolve Slow Performer History

Generated by `cargo bench --bench retained_fuzz`. Timings are best-of-five wall-clock probes of deterministic inputs shaped by the registered cargo-fuzz targets.

Latest run sampled 20000 deterministic fuzz cases. This table merges crate-local history by `family + target + input`, keeps each case's worst observed time, and retains the 1000 worst cases.

## Worst Performers

| Rank | Worst Time | Family | Target | Input |
| 59 | 55.286 us | `cargo-fuzz` | `sketch_projected_oriented_angle` | `seed[121]` |
| 60 | 55.266 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_second_order_contact` | `seed[9]` |
| 61 | 55.257 us | `cargo-fuzz` | `sketch_projected_cubic_line_tangent` | `seed[20]` |
| 62 | 55.246 us | `cargo-fuzz` | `sketch_projected_arc_line_tangent` | `seed[6]` |
| 63 | 55.246 us | `cargo-fuzz` | `sketch_projected_point_distance_ratio` | `seed[8]` |
| 64 | 55.246 us | `cargo-fuzz` | `sketch_projected_point_on_arc` | `seed[8]` |
| 65 | 55.236 us | `cargo-fuzz` | `sketch_projected_line_length_range` | `seed[8]` |
| 66 | 55.197 us | `cargo-fuzz` | `sketch_projected_point_on_cubic` | `seed[18]` |
| 67 | 55.196 us | `cargo-fuzz` | `sketch_projected_equal_point_point_distances` | `seed[6]` |
| 68 | 55.136 us | `cargo-fuzz` | `failed_constraint_minimal_removals` | `seed[2]` |
| 69 | 55.116 us | `cargo-fuzz` | `sketch_projected_cubic_line_tangent` | `seed[6]` |
| 70 | 55.116 us | `cargo-fuzz` | `sketch_projected_length_point_line_distance` | `seed[6]` |
| 71 | 55.097 us | `cargo-fuzz` | `sketch_projected_oriented_angle` | `seed[20]` |
| 72 | 55.096 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_tangent` | `seed[9]` |
| 73 | 55.096 us | `cargo-fuzz` | `sketch_projected_distance` | `seed[22]` |
| 74 | 55.067 us | `cargo-fuzz` | `sketch_projected_length_point_line_distance` | `seed[20]` |
| 75 | 55.066 us | `cargo-fuzz` | `sketch_projected_cubic_line_tangent` | `seed[22]` |
| 76 | 55.056 us | `cargo-fuzz` | `sketch_projected_line_arc_sweep_length` | `seed[17]` |
| 77 | 55.026 us | `cargo-fuzz` | `sketch_projected_line_circle_tangent` | `seed[17]` |
| 78 | 55.006 us | `cargo-fuzz` | `sketch_projected_line_arc_sweep_length` | `seed[19]` |
| 79 | 54.996 us | `cargo-fuzz` | `failed_constraint_minimal_removals` | `seed[19]` |
| 80 | 54.947 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_tangent` | `seed[23]` |
| 81 | 54.946 us | `cargo-fuzz` | `sketch_projected_point_on_cubic` | `seed[22]` |
